Curriculum learning enabled: 20000 steps per level (easy->medium->transit->normal)
Using cpu device
---------------------------------
| curriculum/        |          |
|    level           | 0        |
| rollout/           |          |
|    ep_len_mean     | 4.51     |
|    ep_rew_mean     | 4.51     |
| time/              |          |
|    fps             | 87       |
|    iterations      | 1        |
|    time_elapsed    | 46       |
|    total_timesteps | 4096     |
---------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 0           |
| rollout/                |             |
|    ep_len_mean          | 4.63        |
|    ep_rew_mean          | 4.63        |
| time/                   |             |
|    fps                  | 88          |
|    iterations           | 2           |
|    time_elapsed         | 92          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.022660553 |
|    clip_fraction        | 0.286       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.08       |
|    explained_variance   | -0.276      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00345     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0144     |
|    value_loss           | 0.538       |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 0           |
| rollout/                |             |
|    ep_len_mean          | 4.73        |
|    ep_rew_mean          | 4.73        |
| time/                   |             |
|    fps                  | 87          |
|    iterations           | 3           |
|    time_elapsed         | 140         |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.050654076 |
|    clip_fraction        | 0.353       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1          |
|    explained_variance   | 0.908       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0111     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0571     |
|    value_loss           | 0.113       |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 0           |
| rollout/                |             |
|    ep_len_mean          | 4.86        |
|    ep_rew_mean          | 4.86        |
| time/                   |             |
|    fps                  | 87          |
|    iterations           | 4           |
|    time_elapsed         | 188         |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.059576496 |
|    clip_fraction        | 0.208       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.896      |
|    explained_variance   | 0.938       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0333     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0375     |
|    value_loss           | 0.0954      |
-----------------------------------------

[Curriculum] Advancing to MEDIUM (level 1) at 20000 steps
-----------------------------------------
| curriculum/             |             |
|    level                | 1           |
|    level_transition     | 1           |
| rollout/                |             |
|    ep_len_mean          | 4.86        |
|    ep_rew_mean          | 4.86        |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 5           |
|    time_elapsed         | 235         |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.017155927 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.843      |
|    explained_variance   | 0.965       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00803    |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0166     |
|    value_loss           | 0.0572      |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 1           |
| rollout/                |             |
|    ep_len_mean          | 4.89        |
|    ep_rew_mean          | 4.89        |
| time/                   |             |
|    fps                  | 83          |
|    iterations           | 6           |
|    time_elapsed         | 292         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.014396054 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.796      |
|    explained_variance   | 0.973       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0224     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0143     |
|    value_loss           | 0.046       |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 1           |
| rollout/                |             |
|    ep_len_mean          | 4.83        |
|    ep_rew_mean          | 4.83        |
| time/                   |             |
|    fps                  | 81          |
|    iterations           | 7           |
|    time_elapsed         | 353         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.013986358 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.765      |
|    explained_variance   | 0.976       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0173     |
|    n_updates            | 120         |
